industry_id,display_name_cn,sw_code,board_name,board_code,board_rank,board_pct_change,board_leader,stock_code,stock_name,latest_price,pct_change,turnover_amount,turnover_rate,representative_score,is_board_leader,candidate_rank
sw_l1_801720,建筑装饰,801720.SI,建筑装饰,BK1209,283,-1.7,中工国际,601789,宁波建工,5.55,-5.45,884403922.0,14.42,0.85098,False,4
sw_l1_801720,建筑装饰,801720.SI,建筑装饰,BK1209,283,-1.7,中工国际,600667,太极实业,8.8,-4.03,1115067170.0,5.91,0.847059,False,5
sw_l1_801730,电力设备,801730.SI,电力设备,BK1200,360,-2.09,新能泰山,000720,新能泰山,5.4,9.98,1370324228.84,20.52,0.922506,True,1
sw_l1_801730,电力设备,801730.SI,电力设备,BK1200,360,-2.09,新能泰山,603778,国晟科技,29.16,6.04,4374626455.0,23.97,0.888235,False,2
sw_l1_801730,电力设备,801730.SI,电力设备,BK1200,360,-2.09,新能泰山,002471,中超控股,9.36,6.12,4335369325.77,33.89,0.88798,False,3
sw_l1_801730,电力设备,801730.SI,电力设备,BK1200,360,-2.09,新能泰山,002309,中利集团,4.98,9.93,3568213733.4,30.04,0.885934,False,4
sw_l1_801730,电力设备,801730.SI,电力设备,BK1200,360,-2.09,新能泰山,002560,通达股份,13.06,10.03,2709401042.13,46.58,0.880307,False,5
sw_l1_801890,机械设备,801890.SI,机械设备,BK1205,278,-1.68,必创科技,300667,必创科技,17.78,12.11,415733960.5,13.99,0.916047,True,1
sw_l1_801890,机械设备,801890.SI,机械设备,BK1205,278,-1.68,必创科技,002353,杰瑞股份,108.0,7.56,4335236644.08,5.78,0.885135,False,2
sw_l1_801890,机械设备,801890.SI,机械设备,BK1205,278,-1.68,必创科技,000988,华工科技,100.34,-4.2,6052846908.06,5.91,0.878547,False,3
sw_l1_801890,机械设备,801890.SI,机械设备,BK1205,278,-1.68,必创科技,301338,凯格精机,159.68,-11.37,1234022795.86,12.68,0.877872,False,4
sw_l1_801890,机械设备,801890.SI,机械设备,BK1205,278,-1.68,必创科技,000008,神州高铁,3.12,-4.59,1405354984.29,16.62,0.876858,False,5
sw_l1_801740,国防军工,801740.SI,国防军工,BK1204,336,-1.91,雷科防务,002413,雷科防务,13.58,3.74,3021552725.86,16.8,0.983459,True,1
sw_l1_801740,国防军工,801740.SI,国防军工,BK1204,336,-1.91,雷科防务,000547,航天发展,27.03,-2.91,3399678470.99,7.79,0.871805,False,2
sw_l1_801740,国防军工,801740.SI,国防军工,BK1204,336,-1.91,雷科防务,002025,航天电器,60.62,-7.27,1614032637.62,5.75,0.861654,False,3
sw_l1_801740,国防军工,801740.SI,国防军工,BK1204,336,-1.91,雷科防务,688629,华丰科技,107.21,-3.72,1535584738.0,7.77,0.850376,False,4
sw_l1_801740,国防军工,801740.SI,国防军工,BK1204,336,-1.91,雷科防务,600879,航天电子,21.05,-3.22,2178043346.0,3.09,0.845113,False,5
sw_l1_801750,计算机,801750.SI,计算机,BK1207,445,-2.84,友车科技,300017,网宿科技,16.55,-6.66,3723692475.18,9.65,0.888372,False,1
sw_l1_801750,计算机,801750.SI,计算机,BK1207,445,-2.84,友车科技,600410,华胜天成,25.14,-5.02,4013289377.0,14.38,0.887645,False,2
sw_l1_801750,计算机,801750.SI,计算机,BK1207,445,-2.84,友车科技,688158,优刻得-W,40.68,-8.01,1979367041.0,11.8,0.88314,False,3
sw_l1_801750,计算机,801750.SI,计算机,BK1207,445,-2.84,友车科技,000815,美利云,19.66,-5.02,2166872057.95,15.75,0.879797,False,4
sw_l1_801750,计算机,801750.SI,计算机,BK1207,445,-2.84,友车科技,300166,东方国信,13.92,-6.7,1754549384.43,13.79,0.876453,False,5
sw_l1_801760,传媒,801760.SI,传媒,BK0486,423,-2.54,内蒙新华,300058,蓝色光标,13.86,-5.0,4086455934.22,8.41,0.890244,False,1
sw_l1_801760,传媒,801760.SI,传媒,BK0486,423,-2.54,内蒙新华,300418,昆仑万维,47.79,-6.66,3173233756.04,5.2,0.881301,False,2
sw_l1_801760,传媒,801760.SI,传媒,BK0486,423,-2.54,内蒙新华,300113,顺网科技,26.62,-6.76,1721987942.92,12.38,0.87561,False,3
sw_l1_801760,传媒,801760.SI,传媒,BK0486,423,-2.54,内蒙新华,301171,易点天下,42.4,-5.92,1530183680.62,9.3,0.865854,False,4
sw_l1_801760,传媒,801760.SI,传媒,BK0486,423,-2.54,内蒙新华,002400,省广集团,8.34,-5.76,1400373109.61,9.61,0.860163,False,5
sw_l1_801770,通信,801770.SI,通信,BK1215,305,-1.79,汇源通信,688313,仕佳光子,92.8,4.41,5488166875.0,12.92,0.842742,False,1
sw_l1_801770,通信,801770.SI,通信,BK1215,305,-1.79,汇源通信,300620,光库科技,200.07,7.0,5001514487.33,10.02,0.842742,False,2
sw_l1_801770,通信,801770.SI,通信,BK1215,305,-1.79,汇源通信,601869,长飞光纤,332.49,7.95,6337712570.0,4.73,0.831452,False,3
sw_l1_801770,通信,801770.SI,通信,BK1215,305,-1.79,汇源通信,000070,特发信息,19.37,4.99,3875170052.76,22.75,0.830645,False,4
sw_l1_801770,通信,801770.SI,通信,BK1215,305,-1.79,汇源通信,300383,光环新网,16.28,-7.76,3416122735.82,11.51,0.820161,False,5
sw_l1_801950,煤炭,801950.SI,煤炭,BK0437,45,0.52,中煤能源,601898,中煤能源,17.91,3.77,820009134.0,0.5,0.86875,True,1
sw_l1_801950,煤炭,801950.SI,煤炭,BK0437,45,0.52,中煤能源,600188,兖矿能源,19.36,1.84,920348480.0,0.8,0.795312,False,2
sw_l1_801950,煤炭,801950.SI,煤炭,BK0437,45,0.52,中煤能源,601088,中国神华,47.69,2.3,1531233784.0,0.2,0.79375,False,3
sw_l1_801950,煤炭,801950.SI,煤炭,BK0437,45,0.52,中煤能源,600758,辽宁能源,4.38,0.46,722399657.0,12.61,0.7625,False,4
sw_l1_801950,煤炭,801950.SI,煤炭,BK0437,45,0.52,中煤能源,601015,陕西黑猫,4.5,1.35,432455746.0,4.72,0.703125,False,5
sw_l1_801960,石油石化,801960.SI,石油石化,BK0464,10,2.99,博汇股份,600759,洲际油气,5.89,4.99,3729409409.0,15.36,0.86875,False,1
sw_l1_801960,石油石化,801960.SI,石油石化,BK0464,10,2.99,博汇股份,300164,通源石油,15.72,6.29,3074912853.23,33.55,0.852083,False,2
sw_l1_801960,石油石化,801960.SI,石油石化,BK0464,10,2.99,博汇股份,603619,中曼石油,35.06,5.73,1343069937.0,8.35,0.789583,False,3
sw_l1_801960,石油石化,801960.SI,石油石化,BK0464,10,2.99,博汇股份,600938,中国海油,39.33,1.79,2858105528.0,2.43,0.754167,False,4
sw_l1_801960,石油石化,801960.SI,石油石化,BK0464,10,2.99,博汇股份,600256,广汇能源,6.68,3.09,1371102470.0,3.22,0.754167,False,5
sw_l1_801970,环保,801970.SI,环保,BK0728,276,-1.67,万德斯,000890,法尔胜,15.9,3.92,1533473474.79,23.33,0.891538,False,1
sw_l1_801970,环保,801970.SI,环保,BK0728,276,-1.67,万德斯,300385,雪浪环境,17.74,-5.13,903241622.74,17.11,0.874615,False,2
sw_l1_801970,环保,801970.SI,环保,BK0728,276,-1.67,万德斯,300779,惠城环保,91.82,-5.1,589297304.52,3.96,0.848462,False,3
sw_l1_801970,环保,801970.SI,环保,BK0728,276,-1.67,万德斯,603588,高能环境,15.47,2.52,1254805246.0,5.34,0.846154,False,4
sw_l1_801970,环保,801970.SI,环保,BK0728,276,-1.67,万德斯,688480,赛恩斯,79.9,-5.39,400532571.0,5.13,0.845385,False,5
sw_l1_801980,美容护理,801980.SI,美容护理,BK1035,157,-0.97,延江股份,300658,延江股份,25.79,6.92,997743951.5,16.94,0.996774,True,1
sw_l1_801980,美容护理,801980.SI,美容护理,BK1035,157,-0.97,延江股份,920982,锦波生物,180.0,5.76,505737099.02,5.16,0.841935,False,2
sw_l1_801980,美容护理,801980.SI,美容护理,BK1035,157,-0.97,延江股份,600249,两面针,7.14,1.85,945112386.0,23.28,0.822581,False,3
sw_l1_801980,美容护理,801980.SI,美容护理,BK1035,157,-0.97,延江股份,603193,润本股份,23.59,-3.56,242216173.0,9.87,0.787097,False,4
sw_l1_801980,美容护理,801980.SI,美容护理,BK1035,157,-0.97,延江股份,300896,爱美客,114.98,-3.78,415546607.84,1.75,0.783871,False,5
